country,state,latitude,longitude,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,local_time
Gabon,Gabon,1.3558333,29.0404722,1,190.26,0.05,0.24,2.91,0.02,6.35,8.2,0.07,2024-12-15 02:32:49
Gabon,Gabon,16.0130441,120.3654822,3,343.8,0.07,0.88,114.44,1.82,17.8,21.92,2.53,2024-12-15 08:32:49
China,Guangzhou City,23.1301964,113.2592945,4,660.9,7.94,24.68,54.36,36.72,52.1,63.2,1.2,2024-12-15 08:32:49
China,China,30.047992,-94.3357433,2,243.66,0.0,4.58,82.97,1.64,2.6,3.4,0.43,2024-12-14 18:32:49
China,China,44.4790605,-69.5175458,2,250.34,0.0,2.57,72.24,0.66,0.5,0.66,0.2,2024-12-14 19:32:49
China,China,27.343615,128.568063,2,253.68,0.07,0.76,98.71,0.91,5.13,8.41,0.0,2024-12-15 09:32:49
China,China,25.7017448,-99.236325,2,216.96,0.0,1.41,76.53,0.1,3.19,9.13,0.91,2024-12-14 18:32:49
Yemen,Yaman,15.268007,42.583216,5,230.31,0.08,1.21,108.72,3.73,80.77,246.31,0.0,2024-12-15 03:32:49
Yemen,Yemen,25.22569585,55.1765802640922,4,554.09,16.54,59.63,44.7,35.29,34.86,128.99,1.12,2024-12-15 04:32:49
Saint Barthélemy,Saint Barthélemy,17.9036287,-62.8115292150199,2,208.62,0.0,0.3,76.53,0.72,1.16,3.66,0.01,2024-12-14 20:32:49
Saint Barthélemy,Saint-Barthélemy,48.6815967,-0.9535154,3,440.6,0.0,13.02,29.68,1.25,40.32,44.26,3.99,2024-12-15 01:32:49
Saint Barthélemy,Saint-Barthélemy,48.8165438,3.359639,3,377.18,0.01,17.31,22.17,2.15,32.82,34.44,2.6,2024-12-15 01:32:49
Saint Barthélemy,Saint-Barthélemy,45.3465,5.07977,3,807.76,21.46,35.3,0.0,2.65,44.69,46.03,10.13,2024-12-15 01:32:49
Saint Barthélemy,Saint-Barthélemy,47.7476,6.58483,3,377.18,0.01,13.02,22.35,1.97,26.55,28.27,3.29,2024-12-15 01:32:49
Guernsey,Guernsey,49.46229125,-2.58120225032944,2,307.08,0.0,7.28,60.8,2.89,16.3,18.29,0.08,2024-12-15 00:32:49
Guernsey,Guernsey,49.580437,-2.484854,2,307.08,0.0,7.28,60.8,2.89,16.3,18.29,0.08,2024-12-15 00:32:49
Guernsey,Guernsey,41.6487605,-92.3432879,2,253.68,0.0,2.91,69.38,0.17,0.74,1.01,2.09,2024-12-14 18:32:49
Guernsey,Guernsey,42.269465,-104.741472,2,247.0,0.0,3.98,67.23,0.7,4.18,8.0,2.09,2024-12-14 17:32:49
Guernsey,Guernsey,40.1817377,-81.5923431,2,263.69,0.0,6.43,78.68,4.59,1.72,2.32,1.14,2024-12-14 19:32:49
Solomon Islands,Solomon Islands,-7.9999999,158.9999999,1,178.58,0.0,0.01,17.17,0.03,0.5,1.29,0.0,2024-12-15 11:32:49
Solomon Islands,Solomon Islands,55.87536315,-60.6632278184233,1,240.33,0.0,0.21,57.94,0.0,0.5,0.53,0.0,2024-12-14 20:32:49
Faroe Islands,Faroe Islands,62.19850045,-6.81741243341217,2,216.96,0.0,0.09,87.98,0.06,0.5,1.48,0.0,2024-12-15 00:32:49
Uzbekistan,Tashkent,41.3123363,69.2787079,2,480.65,44.7,65.8,11.09,5.42,5.6,6.68,1.73,2024-12-15 05:32:49
Uzbekistan,Angren,41.0039514,70.0621474,2,186.92,0.25,0.71,85.12,0.1,0.58,0.87,3.14,2024-12-15 05:32:49
Uzbekistan,Uzbekistan,41.3050232,69.4694492,2,273.71,2.49,20.39,65.8,1.21,1.12,1.69,1.3,2024-12-15 05:32:49
Uzbekistan,O'zbekiston,40.705693,67.9388523,3,236.99,0.43,4.76,100.14,2.5,2.57,4.32,1.14,2024-12-15 05:32:49
Uzbekistan,Sohilobod,40.5073087,69.0591235,2,240.33,0.43,5.48,87.98,1.21,1.47,3.24,1.96,2024-12-15 05:32:49
Egypt,Egypt,-27.676714,152.098410876365,2,257.02,0.1,0.87,89.41,1.22,2.49,3.76,0.45,2024-12-15 10:32:49
Egypt,Egypt,40.0850696,-81.1278815,2,263.69,0.0,5.31,80.11,3.46,1.66,2.22,1.05,2024-12-14 19:32:49
Egypt,Egypt,40.3856031,-84.433007,2,253.68,0.0,2.68,77.96,0.4,1.09,1.56,2.72,2024-12-14 19:32:49
Egypt,Egypt,40.8592052,-87.203911,2,250.34,0.0,2.96,73.67,0.68,0.99,1.99,1.28,2024-12-14 18:32:49
Egypt,Egypt,39.3520449,-77.9474973,1,333.79,0.0,16.11,58.65,2.21,4.96,6.4,2.82,2024-12-14 19:32:49
Senegal,Senegal,5.8304643,36.6642147,3,333.79,0.13,1.19,63.66,1.25,35.81,66.91,10.51,2024-12-15 03:32:49
Senegal,Senegal,25.21318905,55.1697637283781,4,554.09,16.54,59.63,44.7,35.29,34.86,128.99,1.12,2024-12-15 04:32:49
Senegal,Diaobé-Kabendou,12.911966,-14.1422283,5,240.33,0.0,0.66,37.55,0.09,87.02,214.42,1.81,2024-12-15 00:32:49
Sri Lanka,Sri Lanka,7.87739585,80.6624785235589,1,363.83,0.04,1.5,49.35,0.11,4.87,5.76,1.46,2024-12-15 06:02:49
Sri Lanka,Sri Lanka,25.22961495,55.1820952407713,4,554.09,16.54,59.63,44.7,35.29,34.86,128.99,1.12,2024-12-15 04:32:49
Palestine,Palestine,31.7621153,-95.6307891,2,230.31,0.0,1.46,87.26,0.87,2.51,3.08,0.3,2024-12-14 18:32:49
Palestine,Palestine,34.9719871,-90.9035586,2,267.03,0.0,3.04,75.1,0.5,3.37,4.0,0.92,2024-12-14 18:32:49
Palestine,Palestine,40.0494926,-84.7432923,2,263.69,0.0,4.28,72.24,0.84,1.77,2.68,2.19,2024-12-14 19:32:49
Palestine,Palestine,37.732343,-80.6292456,2,250.34,0.0,5.23,70.81,0.9,2.21,2.57,0.56,2024-12-14 19:32:49
Palestine,Palestine,51.1643411,-1.6261975,1,257.02,0.0,15.94,40.05,2.65,9.76,11.61,0.08,2024-12-15 00:32:49
Bangladesh,Bangladesh,-0.2864982,36.0514231,3,974.66,2.71,12.17,65.09,1.94,49.67,67.97,16.47,2024-12-15 03:32:49
Bangladesh,Bangladesh,-20.1786668,57.5121443,1,253.68,0.36,1.26,42.92,2.33,2.88,12.48,0.22,2024-12-15 04:32:49
Bangladesh,Bangladesh,6.7160302,124.792406,1,236.99,0.05,0.78,50.07,0.15,1.54,1.76,1.3,2024-12-15 08:32:49
Bangladesh,Bangladesh,10.6499316,-61.4161908429851,1,211.95,0.0,1.2,43.63,0.4,0.61,1.44,0.14,2024-12-14 20:32:49
Bangladesh,Bangladesh,6.2449816,-57.3467504,1,213.62,0.0,0.05,55.08,0.03,1.88,2.48,0.0,2024-12-14 20:32:49
Peru,Peru,41.3272919,-89.1287636,2,257.02,0.0,4.2,71.53,1.45,0.81,1.29,1.98,2024-12-14 18:32:49
Peru,Peru,37.088501,-96.0951098,2,257.02,0.0,2.91,82.97,0.97,4.46,5.6,1.05,2024-12-14 18:32:49
Peru,Peru,40.7537253,-86.0690325,2,247.0,0.0,2.57,76.53,0.51,0.76,0.92,1.08,2024-12-14 19:32:49
Peru,Peru,44.50679,-70.405884,2,247.0,0.0,1.52,72.96,0.17,0.5,0.53,0.1,2024-12-14 19:32:49
Peru,Peru,43.2302304,-72.9000615,2,247.0,0.0,2.96,63.66,0.74,0.52,0.69,0.33,2024-12-14 19:32:49
Singapore,Singapore,1.2899175,103.8519072,2,714.3,9.28,47.98,29.68,36.72,13.5,14.98,1.17,2024-12-15 08:32:49
Singapore,Singapore,1.340863,103.830391822121,2,714.3,9.28,47.98,29.68,36.72,13.5,14.98,1.17,2024-12-15 08:32:49
Singapore,Singapore,60.16544905,13.7420508047613,1,253.68,0.0,1.99,56.51,1.27,1.35,2.08,0.36,2024-12-15 01:32:49
Singapore,Singapore,-29.6632273,150.4151121,1,257.02,0.02,0.14,56.51,0.13,1.38,3.06,0.18,2024-12-15 11:32:49
Turkey,Turkey,34.3925639,-100.8976408,2,223.64,0.0,1.21,81.54,1.58,4.8,10.77,0.9,2024-12-14 18:32:49
Turkey,Turkey,25.22739495,55.1666779947612,4,554.09,16.54,59.63,44.7,35.29,34.86,128.99,1.12,2024-12-15 04:32:49
Turkey,Turkey,34.9923888,-78.183049,1,320.44,0.0,10.28,40.05,0.14,4.25,6.98,8.04,2024-12-14 19:32:49
Turkey,Turkey,36.244515,-92.7637783,2,233.65,0.0,1.59,86.55,1.09,3.45,4.28,0.85,2024-12-14 18:32:49
Turkey,Turkey,37.6403897,-81.5781631,2,260.35,0.0,6.08,64.37,0.79,2.13,2.6,0.42,2024-12-14 19:32:49
